text@vb1991m	Владислав Бабич	202.22	205.09	ну я ж как бы не планировал выиграть даже украинский чемпионат//
text@vb1991m	Владислав Бабич	209.33	213.08	твоя задача приготовить две классические джезвы/ кофе/ вода//
text@vb1991m	Владислав Бабич	213.34	216.2	и два авторских напитка/ тоже на основе классической джезвы//
text@vb1991m	Владислав Бабич	216.7	221.59	а.../ при этом рассказать/ что у тебя за кофе/ почему он такой/ почему ты его выбрал/
text@vb1991m	Владислав Бабич	221.63	223.41	рассказывать каждое своё движение//
text@vb1991m	Владислав Бабич	223.62	225.49	потянулся за ложкой/ почему такая ложка//
text@vb1991m	Владислав Бабич	233.83	235.01	дома/ коненчо//
text@vb1991m	Владислав Бабич	235.94	237.1	вот// так что быва//
text@vb1991m	Владислав Бабич	240.89	242.03	конечно/ есть//
text@vb1991m	Владислав Бабич	242.03	243.9	э/ щас открылась на//
text@vb1991m	Владислав Бабич	245.55	246.51	да/ ко мне в Маст//
text@vb1991m	Владислав Бабич	246.795	250.405	что в Што можно еще приехать// тоже новое открывшееся/ на Мечникова//
text@vb1991m	Владислав Бабич	250.815	252.755	э.../ что там ещё есть?//
text@vb1991m	Владислав Бабич	252.89	257.11	Кловская/ на метро Кловская открылась очень прекрасная кофейня/ я её безумно люблю//
text@vb1991m	Владислав Бабич	257.22	260.6	по дизайну/ по интерьеру/ по летней площадке/ по всему люблю//
text@vb1991m	Владислав Бабич	260.96	264.34	ребята открыли// это вот/ европейская кофейня//
text@vb1991m	Владислав Бабич	264.5	266.08	мы не готовим американо//
text@vb1991m	Владислав Бабич	266.67	267.27	американо//
text@vb1991m	Владислав Бабич	270.71	273.25	да мне писали/ чуть ли не каждый раз//
text@vb1991m	Владислав Бабич	273.285	277.825	потом приходили всё время ко мне/ садились за стойку/ общались// но кофе мы у вас пить не будем!
text@vb1991m	Владислав Бабич	280.72	281.2	поговорить//
text@vb1991m	Владислав Бабич	281.28	288.425	вот/ но со временим конечно они пили кофе/ приучили по чуть-чуть к капучино// такие напитки как капу-орандж//
text@vb1991m	Владислав Бабич	288.425	290.525	это капучино/ но без молока/ с апельсиновым фрешем//
text@vb1991m	Владислав Бабич	290.61	292.24	всё по чуть-чуть приходило к этим людям//
text@vb1991m	Владислав Бабич	292.68	296.01	и// очень много людей/ блин/ а эспрессо вкуснее/ да//
text@vb1991m	Владислав Бабич	296.58	299.32	так он не горький совсем/ я же не пью эспрессо потому что он горький//
text@vb1991m	Владислав Бабич	299.73	300.07	вот
text@dk1979m	Дмитрий Костырко	0.55	1.13	Слава привет//
text@dk1979m	Дмитрий Костырко	2.14	4.47	отлично/ что у нас есть с тобой возможность поговорить/
text@dk1979m	Дмитрий Костырко	4.58	6.97	и мне кажется/ сегодня безумно интересная тема//
text@dk1979m	Дмитрий Костырко	7.0	11.11	сегодня мы узнаем/ как варить самый лучший в мире кофе/
text@dk1979m	Дмитрий Костырко	11.12	13.04	и это заслуживает об этом говорить//
text@dk1979m	Дмитрий Костырко	13.49	13.87	эээ/
text@dk1979m	Дмитрий Костырко	14.22	15.88	давай/ Слав/ расскажи пожалуйста/
text@dk1979m	Дмитрий Костырко	16.03	16.37	эээ/
text@dk1979m	Дмитрий Костырко	16.46	17.65	как ты вообще пришел/
text@dk1979m	Дмитрий Костырко	17.65	17.93	ээ
text@dk1979m	Дмитрий Костырко	18.14	19.14	в эту профессию//
text@dk1979m	Дмитрий Костырко	65.41	65.85	#смеётся#
text@dk1979m	Дмитрий Костырко	81.06	81.82	наверное/
text@dk1979m	Дмитрий Костырко	82.22	86.75	эээ...этим/скажем так и на неё и обратил внимание на себя/ да?
text@dk1979m	Дмитрий Костырко	111.77	116.34	вот так/ как говорится/ случайности приводят к таким/ судьбоносным вещам//
text@dk1979m	Дмитрий Костырко	131.69	138.2	не/ ну ты знаешь/ну /такая мысль мне сейчас пришла/ что/ ээ.../ну/скажем так/ она не прогадала/да?
text@dk1979m	Дмитрий Костырко	138.26	143.98	то есть/ если она получает кофе в постель/ то это самый лучший в мире кофе/ понимаешь? #смеётся#
text@dk1979m	Дмитрий Костырко	167.24	172.64	Слав/ скажи/ победил в международном чемпионате/э/заваривание кофе в джезле/да?
text@dk1979m	Дмитрий Костырко	173.27	174.31	в джезве/да?
text@dk1979m	Дмитрий Костырко	174.335	177.005	вот опять/да? я всё старался сказать правильно//
text@dk1979m	Дмитрий Костырко	177.01	179.78	вот опять сказал неправильно/ в простонародье просто/
text@dk1979m	Дмитрий Костырко	180.93	181.38	турочка
text@dk1979m	Дмитрий Костырко	181.66	183.38	но/ э/ э/ расскажи об этом//
text@dk1979m	Дмитрий Костырко	183.38	187.02	я скажу/ свой делал ролик// и мне показалось/ что ты заплакал//
text@dk1979m	Дмитрий Костырко	190.33	191.72	ты заплакал реально?
text@dk1979m	Дмитрий Костырко	192.09	194.13	во-первых/ почему заплакал? знаешь/
text@dk1979m	Дмитрий Костырко	194.13	194.72	и вот
text@dk1979m	Дмитрий Костырко	205.22	209.35	как вообще он проходит/ и в чем как бы сос... состояла сама задача?
text@dk1979m	Дмитрий Костырко	229.58	233.83	если хочется попить хороший кофе// где его можно попить?
text@dk1979m	Дмитрий Костырко	234.98	235.97	#смеётся#
text@dk1979m	Дмитрий Костырко	237.05	240.86	и если есть такие места/ куда// куда ты мог посоветовать//
text@dk1979m	Дмитрий Костырко	243.16	245.79	к тебе/ конечно/ в ресторан сюда/ в Масте можно приехать//
text@dk1979m	Дмитрий Костырко	268.115	271.555	да как это// там книга жалоб! администратор!
text@dk1979m	Дмитрий Костырко	278.83	280.51	#смеётся# а поговорить/да да//
words@dk1979m	Дмитрий Костырко	0.55	0.695	Слава
words@dk1979m	Дмитрий Костырко	0.695	0.84	привет
words@dk1979m	Дмитрий Костырко	0.84	0.985	/
words@dk1979m	Дмитрий Костырко	0.985	1.13	/
words@dk1979m	Дмитрий Костырко	2.14	2.351	отлично
words@dk1979m	Дмитрий Костырко	2.351	2.562	/
words@dk1979m	Дмитрий Костырко	2.562	2.773	что
words@dk1979m	Дмитрий Костырко	2.773	2.984	у
words@dk1979m	Дмитрий Костырко	2.984	3.195	нас
words@dk1979m	Дмитрий Костырко	3.195	3.406	есть
words@dk1979m	Дмитрий Костырко	3.406	3.617	с
words@dk1979m	Дмитрий Костырко	3.617	3.828	тобой
words@dk1979m	Дмитрий Костырко	3.828	4.039	возможность
words@dk1979m	Дмитрий Костырко	4.039	4.25	поговорить
words@dk1979m	Дмитрий Костырко	4.25	4.47	/
words@dk1979m	Дмитрий Костырко	4.58	4.819	и
words@dk1979m	Дмитрий Костырко	4.819	5.058	мне
words@dk1979m	Дмитрий Костырко	5.058	5.297	кажется
words@dk1979m	Дмитрий Костырко	5.297	5.536	/
